UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 07:08 ?        00:00:45 /sbin/init splash
root         2     0  0 07:08 ?        00:00:00 [kthreadd]
root         3     2  0 07:08 ?        00:00:00 [rcu_gp]
root         4     2  0 07:08 ?        00:00:00 [rcu_par_gp]
root         6     2  0 07:08 ?        00:00:00 [kworker/0:0H-kb]
root         9     2  0 07:08 ?        00:00:00 [mm_percpu_wq]
root        10     2  0 07:08 ?        00:00:01 [ksoftirqd/0]
root        11     2  0 07:08 ?        00:00:36 [rcu_sched]
root        12     2  0 07:08 ?        00:00:00 [migration/0]
root        13     2  0 07:08 ?        00:00:00 [idle_inject/0]
root        14     2  0 07:08 ?        00:00:00 [cpuhp/0]
root        15     2  0 07:08 ?        00:00:00 [cpuhp/1]
root        16     2  0 07:08 ?        00:00:00 [idle_inject/1]
root        17     2  0 07:08 ?        00:00:00 [migration/1]
root        18     2  0 07:08 ?        00:00:02 [ksoftirqd/1]
root        20     2  0 07:08 ?        00:00:00 [kworker/1:0H-kb]
root        21     2  0 07:08 ?        00:00:00 [cpuhp/2]
root        22     2  0 07:08 ?        00:00:00 [idle_inject/2]
root        23     2  0 07:08 ?        00:00:00 [migration/2]
root        24     2  0 07:08 ?        00:00:01 [ksoftirqd/2]
root        26     2  0 07:08 ?        00:00:00 [kworker/2:0H-kb]
root        27     2  0 07:08 ?        00:00:00 [cpuhp/3]
root        28     2  0 07:08 ?        00:00:00 [idle_inject/3]
root        29     2  0 07:08 ?        00:00:00 [migration/3]
root        30     2  0 07:08 ?        00:00:01 [ksoftirqd/3]
root        32     2  0 07:08 ?        00:00:00 [kworker/3:0H-kb]
root        33     2  0 07:08 ?        00:00:00 [kdevtmpfs]
root        34     2  0 07:08 ?        00:00:00 [netns]
root        35     2  0 07:08 ?        00:00:00 [rcu_tasks_kthre]
root        36     2  0 07:08 ?        00:00:00 [kauditd]
root        38     2  0 07:08 ?        00:00:00 [khungtaskd]
root        39     2  0 07:08 ?        00:00:00 [oom_reaper]
root        40     2  0 07:08 ?        00:00:00 [writeback]
root        41     2  0 07:08 ?        00:00:01 [kcompactd0]
root        42     2  0 07:08 ?        00:00:00 [ksmd]
root        43     2  0 07:08 ?        00:00:00 [khugepaged]
root       136     2  0 07:08 ?        00:00:00 [kintegrityd]
root       137     2  0 07:08 ?        00:00:00 [kblockd]
root       138     2  0 07:08 ?        00:00:00 [blkcg_punt_bio]
root       139     2  0 07:08 ?        00:00:00 [tpm_dev_wq]
root       140     2  0 07:08 ?        00:00:00 [ata_sff]
root       141     2  0 07:08 ?        00:00:00 [md]
root       142     2  0 07:08 ?        00:00:00 [edac-poller]
root       143     2  0 07:08 ?        00:00:00 [devfreq_wq]
root       144     2  0 07:08 ?        00:00:00 [watchdogd]
root       146     2  0 07:08 ?        00:00:00 [irq/25-AMD-Vi]
root       149     2  0 07:08 ?        00:01:14 [kswapd0]
root       150     2  0 07:08 ?        00:00:00 [kworker/u33:0-h]
root       151     2  0 07:08 ?        00:00:00 [ecryptfs-kthrea]
root       154     2  0 07:08 ?        00:00:00 [kthrotld]
root       155     2  0 07:08 ?        00:00:00 [irq/26-aerdrv]
root       156     2  0 07:08 ?        00:00:00 [irq/26-pciehp]
root       157     2  0 07:08 ?        00:00:00 [irq/27-aerdrv]
root       158     2  0 07:08 ?        00:00:00 [irq/27-pciehp]
root       159     2  0 07:08 ?        00:00:00 [irq/28-aerdrv]
root       160     2  0 07:08 ?        00:00:00 [irq/28-pciehp]
root       161     2  0 07:08 ?        00:00:00 [acpi_thermal_pm]
root       162     2  0 07:08 ?        00:00:00 [ipv6_addrconf]
root       174     2  0 07:08 ?        00:00:00 [kstrp]
root       193     2  0 07:08 ?        00:00:00 [charger_manager]
root       249     2  0 07:08 ?        00:00:00 [scsi_eh_0]
root       250     2  0 07:08 ?        00:00:00 [scsi_tmf_0]
root       252     2  0 07:08 ?        00:00:00 [scsi_eh_1]
root       253     2  0 07:08 ?        00:00:00 [scsi_tmf_1]
root       259     2  0 07:08 ?        00:00:01 [kworker/3:1H-kb]
root       262     2  0 07:08 ?        00:00:00 [kworker/1:1H-kb]
root       263     2  0 07:08 ?        00:00:00 [kdmflush]
root       265     2  0 07:08 ?        00:00:00 [kdmflush]
root       306     2  0 07:08 ?        00:00:01 [kworker/2:1H-kb]
root       310     2  0 07:08 ?        00:00:04 [jbd2/dm-0-8]
root       311     2  0 07:08 ?        00:00:00 [ext4-rsv-conver]
root       326     2  0 07:08 ?        00:00:00 [kworker/0:1H-kb]
root       356     1  0 07:08 ?        00:00:02 /lib/systemd/systemd-journald
root       385     1  0 07:08 ?        00:00:04 /lib/systemd/systemd-udevd
root       388     2  0 07:08 ?        00:00:00 [loop0]
root       391     2  0 07:08 ?        00:00:00 [loop1]
root       394     2  0 07:08 ?        00:00:00 [loop2]
root       402     2  0 07:08 ?        00:00:00 [loop3]
root       408     2  0 07:08 ?        00:00:00 [loop4]
root       412     2  0 07:08 ?        00:00:00 [loop6]
root       413     2  0 07:08 ?        00:00:00 [loop7]
root       415     2  0 07:08 ?        00:00:00 [loop8]
root       418     2  0 07:08 ?        00:00:00 [loop9]
root       421     2  0 07:08 ?        00:00:00 [loop10]
root       424     2  0 07:08 ?        00:00:00 [loop11]
root       431     2  0 07:08 ?        00:00:00 [loop12]
root       432     2  0 07:08 ?        00:00:00 [loop13]
root       443     2  0 07:08 ?        00:00:00 [loop14]
root       455     2  0 07:08 ?        00:00:00 [loop15]
root       457     2  0 07:08 ?        00:00:00 [loop16]
root       462     2  0 07:08 ?        00:00:00 [loop17]
root       468     2  0 07:08 ?        00:00:00 [loop18]
root       472     2  0 07:08 ?        00:00:00 [loop19]
root       473     2  0 07:08 ?        00:00:00 [loop20]
root       474     2  0 07:08 ?        00:00:00 [loop21]
root       475     2  0 07:08 ?        00:00:00 [loop22]
root       476     2  0 07:08 ?        00:00:00 [loop23]
root       477     2  0 07:08 ?        00:00:00 [loop24]
root       490     2  0 07:08 ?        00:00:00 [loop25]
root       495     2  0 07:08 ?        00:00:00 [loop26]
root       603     2  0 07:08 ?        00:00:00 [cfg80211]
root       665     2  0 07:08 ?        00:00:00 [kworker/u33:2-h]
root       667     2  0 07:08 ?        00:00:00 [amd_iommu_v2]
root       677     2  0 07:08 ?        00:00:00 [cryptd]
root       723     2  0 07:08 ?        00:00:00 [ttm_swap]
root       754     2  0 07:08 ?        00:03:05 [gfx]
root       755     2  0 07:08 ?        00:00:00 [comp_1.0.0]
root       756     2  0 07:08 ?        00:00:00 [comp_1.1.0]
root       760     2  0 07:08 ?        00:00:00 [comp_1.2.0]
root       763     2  0 07:08 ?        00:00:00 [comp_1.3.0]
root       764     2  0 07:08 ?        00:00:00 [comp_1.0.1]
root       765     2  0 07:08 ?        00:00:00 [comp_1.1.1]
root       767     2  0 07:08 ?        00:00:00 [comp_1.2.1]
root       769     2  0 07:08 ?        00:00:00 [comp_1.3.1]
root       776     2  0 07:08 ?        00:01:23 [sdma0]
root       778     2  0 07:08 ?        00:00:00 [vcn_dec]
root       779     2  0 07:08 ?        00:00:00 [vcn_enc0]
root       780     2  0 07:08 ?        00:00:00 [vcn_enc1]
